state,which,ic_index,rms_value,delta0,omega0,E_d0,E_q0,E_dd0,E_qq0,Vt0,theta_vs0
delta,residual_best,813,0.013101519085466862,-0.05329953134059906,-0.478678822517395,0.0,1.0,0.0,1.0,0.9811255931854248,-0.08754631876945496
delta,residual_worst,305,0.021843288093805313,0.09919782727956772,0.5281349420547485,0.0,1.0,0.0,1.0,0.9824742674827576,-0.07624984532594681
delta,error_best,276,0.00023132024216465652,-0.06294660270214081,0.49527525901794434,0.0,1.0,0.0,1.0,0.9807497262954712,-0.09334293752908707
delta,error_worst,431,0.0019726178143173456,0.0974552258849144,0.2873961329460144,0.0,1.0,0.0,1.0,0.9903417229652405,-0.0881509929895401
omega,residual_best,218,0.10450755804777145,-0.035825662314891815,-0.5972605347633362,0.0,1.0,0.0,1.0,1.013235330581665,0.0037074238061904907
omega,residual_worst,656,1.288496971130371,0.09603144973516464,0.39557331800460815,0.0,1.0,0.0,1.0,1.0016674995422363,-0.09789648652076721
omega,error_best,551,0.001305698766373098,0.06692285090684891,-0.4619196653366089,0.0,1.0,0.0,1.0,1.015998125076294,0.0990380272269249
omega,error_worst,656,0.017529698088765144,0.09603144973516464,0.39557331800460815,0.0,1.0,0.0,1.0,1.0016674995422363,-0.09789648652076721
E_d_dash,residual_best,304,0.009458133950829506,-0.09012531489133835,-0.4224621057510376,0.0,1.0,0.0,1.0,0.9879795908927917,-0.07174059748649597
E_d_dash,residual_worst,394,0.024297066032886505,0.09973510354757309,0.5985307693481445,0.0,1.0,0.0,1.0,1.018519639968872,-0.09361208230257034
E_d_dash,error_best,813,0.00021576008293777704,-0.05329953134059906,-0.478678822517395,0.0,1.0,0.0,1.0,0.9811255931854248,-0.08754631876945496
E_d_dash,error_worst,394,0.001484282547608018,0.09973510354757309,0.5985307693481445,0.0,1.0,0.0,1.0,1.018519639968872,-0.09361208230257034
E_q_dash,residual_best,563,0.010545107536017895,0.060103870928287506,0.2931475043296814,0.0,1.0,0.0,1.0,1.0169035196304321,-0.08357097208499908
E_q_dash,residual_worst,9,0.02373790368437767,0.07343990355730057,-0.5722798109054565,0.0,1.0,0.0,1.0,0.9805479645729065,0.023776903748512268
E_q_dash,error_best,900,0.00023507651349063963,0.08242715150117874,-0.30137768387794495,0.0,1.0,0.0,1.0,1.0135639905929565,-0.07283288240432739
E_q_dash,error_worst,172,0.0013984737452119589,-0.026118203997612,0.5701861381530762,0.0,1.0,0.0,1.0,1.0188056230545044,-0.017735973000526428
E_d_dd,residual_best,441,0.016715427860617638,-0.012516655027866364,-0.5921080708503723,0.0,1.0,0.0,1.0,1.017926812171936,0.012543119490146637
E_d_dd,residual_worst,394,0.43869972229003906,0.09973510354757309,0.5985307693481445,0.0,1.0,0.0,1.0,1.018519639968872,-0.09361208230257034
E_d_dd,error_best,188,0.00062677072128281,-0.05896879360079765,-0.26770639419555664,0.0,1.0,0.0,1.0,1.0196141004562378,-0.03125206381082535
E_d_dd,error_worst,394,0.01241775881499052,0.09973510354757309,0.5985307693481445,0.0,1.0,0.0,1.0,1.018519639968872,-0.09361208230257034
E_q_dd,residual_best,134,0.009366163983941078,0.05590958148241043,-0.20732367038726807,0.0,1.0,0.0,1.0,1.012209415435791,-0.09077081084251404
E_q_dd,residual_worst,305,0.03489743545651436,0.09919782727956772,0.5281349420547485,0.0,1.0,0.0,1.0,0.9824742674827576,-0.07624984532594681
E_q_dd,error_best,900,0.00013614715135190636,0.08242715150117874,-0.30137768387794495,0.0,1.0,0.0,1.0,1.0135639905929565,-0.07283288240432739
E_q_dd,error_worst,932,0.0011237371945753694,0.08560546487569809,0.477789044380188,0.0,1.0,0.0,1.0,0.9802654385566711,-0.07204928994178772
