metric,state,value
RMSE_residual,delta,0.016879688948392868
RMSE_error,delta,0.000824855815153569
RMSE_residual,omega,0.4613831043243408
RMSE_error,omega,0.006338035687804222
RMSE_residual,E_d_dash,0.01241216529160738
RMSE_error,E_d_dash,0.0005156705738045275
RMSE_residual,E_q_dash,0.016650501638650894
RMSE_error,E_q_dash,0.0008969848277047276
RMSE_residual,E_d_dd,0.15721283853054047
RMSE_error,E_d_dd,0.004531375598162413
RMSE_residual,E_q_dd,0.020824486389756203
RMSE_error,E_q_dd,0.000577833503484726
