kind,state,ic_index,value
residual_rms,delta,0,0.014113180339336395
error_rms,delta,0,0.0005220966995693743
residual_rms,delta,1,0.016784407198429108
error_rms,delta,1,0.0009902608580887318
residual_rms,delta,2,0.016552617773413658
error_rms,delta,2,0.0005285830120556056
residual_rms,delta,3,0.01828683167695999
error_rms,delta,3,0.0009122233022935688
residual_rms,delta,4,0.017043031752109528
error_rms,delta,4,0.0009017925476655364
residual_rms,delta,5,0.019476352259516716
error_rms,delta,5,0.00044456400792114437
residual_rms,delta,6,0.017822623252868652
error_rms,delta,6,0.00045496923848986626
residual_rms,delta,7,0.020412957295775414
error_rms,delta,7,0.0016145287081599236
residual_rms,delta,8,0.018468983471393585
error_rms,delta,8,0.0006273856852203608
residual_rms,delta,9,0.015119765885174274
error_rms,delta,9,0.000739556213375181
residual_rms,delta,10,0.015928471460938454
error_rms,delta,10,0.00047426781384274364
residual_rms,delta,11,0.019499942660331726
error_rms,delta,11,0.0008025894057936966
residual_rms,delta,12,0.015577399171888828
error_rms,delta,12,0.0005424587870948017
residual_rms,delta,13,0.01635933294892311
error_rms,delta,13,0.0008224766352213919
residual_rms,delta,14,0.017260145395994186
error_rms,delta,14,0.0006407508626580238
residual_rms,delta,15,0.016302764415740967
error_rms,delta,15,0.001023411168716848
residual_rms,delta,16,0.015554220415651798
error_rms,delta,16,0.00047256797552108765
residual_rms,delta,17,0.016336562111973763
error_rms,delta,17,0.0006515774875879288
residual_rms,delta,18,0.015736576169729233
error_rms,delta,18,0.001456939266063273
residual_rms,delta,19,0.01610006019473076
error_rms,delta,19,0.0007524430402554572
residual_rms,delta,20,0.01902434602379799
error_rms,delta,20,0.0006766234873794019
residual_rms,delta,21,0.01852724328637123
error_rms,delta,21,0.0009525971254333854
residual_rms,delta,22,0.017618251964449883
error_rms,delta,22,0.0005044388817623258
residual_rms,delta,23,0.013297054916620255
error_rms,delta,23,0.0009697617497295141
residual_rms,delta,24,0.016025124117732048
error_rms,delta,24,0.00044689563219435513
residual_rms,delta,25,0.01565718650817871
error_rms,delta,25,0.0010265355231240392
residual_rms,delta,26,0.018225496634840965
error_rms,delta,26,0.00037158295162953436
residual_rms,delta,27,0.014725896529853344
error_rms,delta,27,0.0003575843875296414
residual_rms,delta,28,0.01793525740504265
error_rms,delta,28,0.0004557053616736084
residual_rms,delta,29,0.015035107731819153
error_rms,delta,29,0.0007807986694388092
residual_rms,delta,30,0.014991397969424725
error_rms,delta,30,0.0004546588461380452
residual_rms,delta,31,0.01808318682014942
error_rms,delta,31,0.001285731908865273
residual_rms,delta,32,0.015944816172122955
error_rms,delta,32,0.0009494294063188136
residual_rms,delta,33,0.019075823947787285
error_rms,delta,33,0.0014594009844586253
residual_rms,delta,34,0.016765473410487175
error_rms,delta,34,0.0009731919271871448
residual_rms,delta,35,0.01540705282241106
error_rms,delta,35,0.0010191574692726135
residual_rms,delta,36,0.015484693460166454
error_rms,delta,36,0.00036679109325632453
residual_rms,delta,37,0.015707384794950485
error_rms,delta,37,0.0010520453797653317
residual_rms,delta,38,0.016918228939175606
error_rms,delta,38,0.0009775637881830335
residual_rms,delta,39,0.013940890319645405
error_rms,delta,39,0.00027859341935254633
residual_rms,delta,40,0.017897341400384903
error_rms,delta,40,0.000865903974045068
residual_rms,delta,41,0.014361687935888767
error_rms,delta,41,0.0005163372843526304
residual_rms,delta,42,0.016857551410794258
error_rms,delta,42,0.0003706546558532864
residual_rms,delta,43,0.016719650477170944
error_rms,delta,43,0.0012969456147402525
residual_rms,delta,44,0.016500229015946388
error_rms,delta,44,0.0005012275651097298
residual_rms,delta,45,0.018072204664349556
error_rms,delta,45,0.0007596122450195253
residual_rms,delta,46,0.019241882488131523
error_rms,delta,46,0.0007678352412767708
residual_rms,delta,47,0.01786985620856285
error_rms,delta,47,0.0006453207461163402
residual_rms,delta,48,0.017612680792808533
error_rms,delta,48,0.0008661017054691911
residual_rms,delta,49,0.014465050771832466
error_rms,delta,49,0.0011982433497905731
residual_rms,delta,50,0.01592959277331829
error_rms,delta,50,0.0004658944089896977
residual_rms,delta,51,0.01703696884214878
error_rms,delta,51,0.0010105771943926811
residual_rms,delta,52,0.016039174050092697
error_rms,delta,52,0.0006644451641477644
residual_rms,delta,53,0.019362788647413254
error_rms,delta,53,0.0004778693546541035
residual_rms,delta,54,0.01838861033320427
error_rms,delta,54,0.0006521230097860098
residual_rms,delta,55,0.01694725640118122
error_rms,delta,55,0.0006466316408477724
residual_rms,delta,56,0.016432203352451324
error_rms,delta,56,0.0009907808853313327
