state,lag_steps,pearson_r
delta,0,0.05682703107595444
delta,1,0.05452919378876686
delta,5,0.0456489659845829
delta,10,0.03532891348004341
delta,20,0.017722850665450096
omega,0,0.9485633969306946
omega,1,0.94963538646698
omega,5,0.9539490938186646
omega,10,0.9591696858406067
omega,20,0.9682973623275757
E_d_dash,0,-0.058632250875234604
E_d_dash,1,-0.05887293815612793
E_d_dash,5,-0.05933743342757225
E_d_dash,10,-0.058791354298591614
E_d_dash,20,-0.05395442619919777
E_q_dash,0,-0.260496586561203
E_q_dash,1,-0.26014700531959534
E_q_dash,5,-0.25854504108428955
E_q_dash,10,-0.25611183047294617
E_q_dash,20,-0.24996095895767212
E_d_dd,0,0.8891841173171997
E_d_dd,1,0.8901882767677307
E_d_dd,5,0.8943700194358826
E_d_dd,10,0.8998770117759705
E_d_dd,20,0.9107739329338074
E_q_dd,0,-0.07304937392473221
E_q_dd,1,-0.07391440123319626
E_q_dd,5,-0.07641774415969849
E_q_dd,10,-0.07776995748281479
E_q_dd,20,-0.07659607380628586
