kind,state,t,value
mean_abs_residual,delta,0.0,0.014016480185091496
mean_abs_error,delta,0.0,0.0005653113476000726
mean_abs_residual,delta,0.0002002002001972869,0.012934606522321701
mean_abs_error,delta,0.0002002002001972869,0.0005674986750818789
mean_abs_residual,delta,0.0004004004003945738,0.011948026716709137
mean_abs_error,delta,0.0004004004003945738,0.0005694142309948802
mean_abs_residual,delta,0.0006006006151437759,0.011077175848186016
mean_abs_error,delta,0.0006006006151437759,0.0005710588884539902
mean_abs_residual,delta,0.0008008008007891476,0.010373380035161972
mean_abs_error,delta,0.0008008008007891476,0.0005724930088035762
mean_abs_residual,delta,0.0010010009864345193,0.00981771107763052
mean_abs_error,delta,0.0010010009864345193,0.0005736765451729298
mean_abs_residual,delta,0.0012012012302875519,0.00940281804651022
mean_abs_error,delta,0.0012012012302875519,0.0005746036185882986
mean_abs_residual,delta,0.0014014013577252626,0.00912526436150074
mean_abs_error,delta,0.0014014013577252626,0.0005752978613600135
mean_abs_residual,delta,0.0016016016015782952,0.008991969749331474
mean_abs_error,delta,0.0016016016015782952,0.0005757596809417009
mean_abs_residual,delta,0.0018018018454313278,0.009029143489897251
mean_abs_error,delta,0.0018018018454313278,0.0005759905325248837
mean_abs_residual,delta,0.0020020019728690386,0.009189552627503872
mean_abs_error,delta,0.0020020019728690386,0.0005760002532042563
mean_abs_residual,delta,0.0022022021003067493,0.009437952190637589
mean_abs_error,delta,0.0022022021003067493,0.0005757747567258775
mean_abs_residual,delta,0.0024024024605751038,0.009769007563591003
mean_abs_error,delta,0.0024024024605751038,0.000575376907363534
mean_abs_residual,delta,0.0026026025880128145,0.010161123238503933
mean_abs_error,delta,0.0026026025880128145,0.0005747764371335506
mean_abs_residual,delta,0.0028028027154505253,0.010604445822536945
mean_abs_error,delta,0.0028028027154505253,0.0005739976186305285
mean_abs_residual,delta,0.0030030030757188797,0.011105882935225964
mean_abs_error,delta,0.0030030030757188797,0.0005730186821892858
mean_abs_residual,delta,0.0032032032031565905,0.011653636582195759
mean_abs_error,delta,0.0032032032031565905,0.0005718609318137169
mean_abs_residual,delta,0.0034034033305943012,0.012242385186254978
mean_abs_error,delta,0.0034034033305943012,0.0005705126095563173
mean_abs_residual,delta,0.0036036036908626556,0.012838355265557766
mean_abs_error,delta,0.0036036036908626556,0.0005689949612133205
mean_abs_residual,delta,0.0038038038183003664,0.013435572385787964
