state,t,mean_signed_error,mean_signed_intres,mean_signed_diff
$\delta$,0.0,0.016432035714387894,-8.727694876142778e-06,0.01644076406955719
$\delta$,0.0002002002001972869,0.01642746478319168,-1.7456588466302492e-05,0.016444921493530273
$\delta$,0.0004004004003945738,0.016422703862190247,-2.6186688046436757e-05,0.016448892652988434
$\delta$,0.0006006006151437759,0.016417767852544785,-3.4917989978566766e-05,0.01645268313586712
$\delta$,0.0008008008007891476,0.016412634402513504,-4.365049608168192e-05,0.01645628549158573
$\delta$,0.0010010009864345193,0.01640731655061245,-5.238419907982461e-05,0.01645970158278942
$\delta$,0.0012012012302875519,0.01640181615948677,-6.111911352491006e-05,0.016462936997413635
$\delta$,0.0014014013577252626,0.01639612950384617,-6.985521758906543e-05,0.016465986147522926
$\delta$,0.0016016016015782952,0.01639026589691639,-7.859252218622714e-05,0.016468854621052742
$\delta$,0.0018018018454313278,0.01638421230018139,-8.733104186831042e-05,0.016471542418003082
$\delta$,0.0020020019728690386,0.016377978026866913,-9.607075480744243e-05,0.01647404581308365
$\delta$,0.0022022021003067493,0.016371559351682663,-0.00010481167555553839,0.016476374119520187
$\delta$,0.0024024024605751038,0.016364961862564087,-0.0001135538041125983,0.016478516161441803
$\delta$,0.0026026025880128145,0.016358185559511185,-0.0001222971040988341,0.01648048125207424
$\delta$,0.0028028027154505253,0.016351228579878807,-0.00013104162644594908,0.016482269391417503
$\delta$,0.0030030030757188797,0.016344089061021805,-0.00013978737115394324,0.01648387312889099
$\delta$,0.0032032032031565905,0.016336772590875626,-0.00014853430911898613,0.0164853073656559
$\delta$,0.0034034033305943012,0.01632927916944027,-0.00015728244034107774,0.01648656092584133
$\delta$,0.0036036036908626556,0.016321605071425438,-0.00016603177937213331,0.01648763380944729
$\delta$,0.0038038038183003664,0.01631375402212143,-0.0001747823116602376,0.016488535329699516
$\delta$,0.004004003945738077,0.016305722296237946,-0.00018353405175730586,0.016489258036017418
$\delta$,0.004204204306006432,0.01629752479493618,-0.00019228699966333807,0.01648981124162674
$\delta$,0.004404404200613499,0.01628914102911949,-0.000201041140826419,0.016490180045366287
$\delta$,0.004604604560881853,0.01628059148788452,-0.00020979648979846388,0.016490386798977852
$\delta$,0.0048048049211502075,0.016271861270070076,-0.00021855304657947272,0.01649041473865509
$\delta$,0.005005004815757275,0.016262954100966454,-0.00022731081116944551,0.016490265727043152
$\delta$,0.005205205176025629,0.0162538792937994,-0.00023606973991263658,0.016489949077367783
$\delta$,0.0054054055362939835,0.01624463126063347,-0.00024482994922436774,0.016489461064338684
$\delta$,0.005605605430901051,0.01623520441353321,-0.00025359130813740194,0.01648879610002041
$\delta$,0.005805805791169405,0.01622561179101467,-0.00026235386030748487,0.01648796536028385
$\delta$,0.006006006151437759,0.016215847805142403,-0.000271117634838447,0.016486963257193565
$\delta$,0.0062062060460448265,0.016205912455916405,-0.00027988263173028827,0.0164857916533947
$\delta$,0.006406406406313181,0.01619580388069153,-0.00028864876367151737,0.01648445427417755
$\delta$,0.006606606766581535,0.01618552953004837,-0.0002974161470774561,0.016482945531606674
$\delta$,0.0068068066611886024,0.016175085678696632,-0.0003061847237404436,0.016481271013617516
$\delta$,0.007007007021456957,0.016164476051926613,-0.00031495452276431024,0.016479426994919777
$\delta$,0.007207207381725311,0.016153693199157715,-0.00032372548594139516,0.016477417200803757
$\delta$,0.007407407276332378,0.016142740845680237,-0.0003324976423755288,0.016475239768624306
$\delta$,0.007607607636600733,0.016131630167365074,-0.0003412710502743721,0.01647290028631687
$\delta$,0.007807807996869087,0.01612034998834133,-0.00035004568053409457,0.016470395028591156
$\delta$,0.008008007891476154,0.016108904033899307,-0.00035882144584320486,0.01646772399544716
$\delta$,0.008208207786083221,0.016097288578748703,-0.0003675984626170248,0.01646488904953003
$\delta$,0.008408408612012863,0.016085511073470116,-0.0003763767017517239,0.016461888328194618
$\delta$,0.00860860850661993,0.016073571518063545,-0.0003851560759358108,0.016458725556731224
$\delta$,0.008808808401226997,0.016061468049883842,-0.0003939366724807769,0.016455404460430145
$\delta$,0.009009009227156639,0.016049200668931007,-0.00040271852049045265,0.016451919451355934
$\delta$,0.009209209121763706,0.01603676751255989,-0.0004115015035495162,0.016448266804218292
$\delta$,0.009409409016370773,0.01602417230606079,-0.0004202857380732894,0.016444459557533264
$\delta$,0.009609609842300415,0.016011418774724007,-0.00042907119495794177,0.016440488398075104
$\delta$,0.009809809736907482,0.01599850505590439,-0.0004378578159958124,0.016436362639069557
$\delta$,0.01001000963151455,0.015985427424311638,-0.0004466455720830709,0.01643207296729088
$\delta$,0.010210210457444191,0.0159721951931715,-0.0004554346960503608,0.016427626833319664
$\delta$,0.010410410352051258,0.015958797186613083,-0.0004642248386517167,0.016423018649220467
$\delta$,0.010610610246658325,0.01594524271786213,-0.0004730163491331041,0.01641825959086418
$\delta$,0.010810811072587967,0.01593152992427349,-0.0004818089946638793,0.016413338482379913
