kind,state,ic_index,value
residual_rms,$\delta$,0,0.05377449095249176
error_rms,$\delta$,0,0.03027321584522724
residual_rms,$\delta$,1,0.0294851865619421
error_rms,$\delta$,1,0.06855254620313644
residual_rms,$\delta$,2,0.04846954718232155
error_rms,$\delta$,2,0.06666193157434464
residual_rms,$\delta$,3,0.039371926337480545
error_rms,$\delta$,3,0.05468617007136345
residual_rms,$\delta$,4,0.0688214898109436
error_rms,$\delta$,4,0.03049423359334469
residual_rms,$\delta$,5,0.041851356625556946
error_rms,$\delta$,5,0.07822292298078537
residual_rms,$\delta$,6,0.04534241184592247
error_rms,$\delta$,6,0.05666514113545418
residual_rms,$\delta$,7,0.03689676150679588
error_rms,$\delta$,7,0.06900288164615631
residual_rms,$\delta$,8,0.060567568987607956
error_rms,$\delta$,8,0.0611623153090477
residual_rms,$\delta$,9,0.03261543810367584
error_rms,$\delta$,9,0.030211107805371284
residual_rms,$\delta$,10,0.04497131332755089
error_rms,$\delta$,10,0.03560039401054382
residual_rms,$\delta$,11,0.059632912278175354
error_rms,$\delta$,11,0.05726942420005798
residual_rms,$\delta$,12,0.03334750607609749
error_rms,$\delta$,12,0.05414563789963722
residual_rms,$\delta$,13,0.030244365334510803
error_rms,$\delta$,13,0.03338703140616417
residual_rms,$\delta$,14,0.07025682181119919
error_rms,$\delta$,14,0.008463989943265915
residual_rms,$\delta$,15,0.01898162066936493
error_rms,$\delta$,15,0.046631887555122375
residual_rms,$\delta$,16,0.03712029010057449
error_rms,$\delta$,16,0.07004007697105408
residual_rms,$\delta$,17,0.05765947327017784
error_rms,$\delta$,17,0.06822875142097473
residual_rms,$\delta$,18,0.04230966046452522
error_rms,$\delta$,18,0.06535608321428299
residual_rms,$\delta$,19,0.055584605783224106
error_rms,$\delta$,19,0.030423913151025772
residual_rms,$\delta$,20,0.02834094502031803
error_rms,$\delta$,20,0.0658043846487999
residual_rms,$\delta$,21,0.07079937309026718
error_rms,$\delta$,21,0.0067607443779706955
residual_rms,$\delta$,22,0.0312618687748909
error_rms,$\delta$,22,0.05529029667377472
residual_rms,$\delta$,23,0.0680939182639122
error_rms,$\delta$,23,0.014826737344264984
residual_rms,$\delta$,24,0.05836072191596031
error_rms,$\delta$,24,0.03745115175843239
residual_rms,$\delta$,25,0.03260061517357826
error_rms,$\delta$,25,0.048193641006946564
residual_rms,$\delta$,26,0.031443264335393906
error_rms,$\delta$,26,0.02891906537115574
residual_rms,$\delta$,27,0.030370593070983887
error_rms,$\delta$,27,0.011012901552021503
residual_rms,$\delta$,28,0.027711322531104088
error_rms,$\delta$,28,0.06972960382699966
residual_rms,$\delta$,29,0.03909352794289589
error_rms,$\delta$,29,0.03789893910288811
residual_rms,$\delta$,30,0.06395132839679718
error_rms,$\delta$,30,0.04361893981695175
residual_rms,$\delta$,31,0.02882039174437523
error_rms,$\delta$,31,0.06970791518688202
residual_rms,$\delta$,32,0.04892049357295036
error_rms,$\delta$,32,0.03686940297484398
residual_rms,$\delta$,33,0.032135773450136185
error_rms,$\delta$,33,0.021663637831807137
residual_rms,$\delta$,34,0.07246376574039459
error_rms,$\delta$,34,0.048047762364149094
residual_rms,$\delta$,35,0.0665808618068695
error_rms,$\delta$,35,0.06536075472831726
residual_rms,$\delta$,36,0.025928040966391563
error_rms,$\delta$,36,0.07009001076221466
residual_rms,$\delta$,37,0.026202509179711342
error_rms,$\delta$,37,0.06385888904333115
residual_rms,$\delta$,38,0.07316406816244125
error_rms,$\delta$,38,0.03750796243548393
residual_rms,$\delta$,39,0.07248282432556152
error_rms,$\delta$,39,0.034596990793943405
residual_rms,$\delta$,40,0.027339063584804535
error_rms,$\delta$,40,0.0417158305644989
residual_rms,$\delta$,41,0.04960266500711441
error_rms,$\delta$,41,0.04303538426756859
residual_rms,$\delta$,42,0.034700412303209305
error_rms,$\delta$,42,0.03710213676095009
residual_rms,$\delta$,43,0.043269578367471695
error_rms,$\delta$,43,0.009598237462341785
residual_rms,$\delta$,44,0.04467751085758209
error_rms,$\delta$,44,0.04362555593252182
residual_rms,$\delta$,45,0.04179643094539642
error_rms,$\delta$,45,0.06527714431285858
residual_rms,$\delta$,46,0.027771707624197006
error_rms,$\delta$,46,0.04425912722945213
residual_rms,$\delta$,47,0.04993829503655434
error_rms,$\delta$,47,0.012536238878965378
residual_rms,$\delta$,48,0.06955229490995407
error_rms,$\delta$,48,0.040843475610017776
residual_rms,$\delta$,49,0.06938530504703522
error_rms,$\delta$,49,0.025624843314290047
residual_rms,$\delta$,50,0.0310157909989357
error_rms,$\delta$,50,0.026248686015605927
residual_rms,$\delta$,51,0.06933452188968658
