state,lag_steps,pearson_r
$\delta$,0,-0.07427471876144409
$\delta$,1,-0.07428489625453949
$\delta$,5,-0.07433129847049713
$\delta$,10,-0.07440230250358582
$\delta$,20,-0.07458125799894333
$\omega$,0,-0.1559218168258667
$\omega$,1,-0.15642334520816803
$\omega$,5,-0.1584218293428421
$\omega$,10,-0.16090339422225952
$\omega$,20,-0.16580790281295776
$E'_d$,0,-0.9551178216934204
$E'_d$,1,-0.9551321268081665
$E'_d$,5,-0.9551897644996643
$E'_d$,10,-0.9552615284919739
$E'_d$,20,-0.9554043412208557
$E'_q$,0,0.212323397397995
$E'_q$,1,0.2121548354625702
$E'_q$,5,0.2114807516336441
$E'_q$,10,0.21063828468322754
$E'_q$,20,0.20895394682884216
