kind,state,t,value
mean_abs_residual,$\delta$,0.0,0.043594833463430405
mean_abs_error,$\delta$,0.0,0.048799239099025726
mean_abs_residual,$\delta$,0.0002002002001972869,0.04360083490610123
mean_abs_error,$\delta$,0.0002002002001972869,0.04879114776849747
mean_abs_residual,$\delta$,0.0004004004003945738,0.04360684007406235
mean_abs_error,$\delta$,0.0004004004003945738,0.04878292232751846
mean_abs_residual,$\delta$,0.0006006006151437759,0.04361284151673317
mean_abs_error,$\delta$,0.0006006006151437759,0.04877455532550812
mean_abs_residual,$\delta$,0.0008008008007891476,0.04361885040998459
mean_abs_error,$\delta$,0.0008008008007891476,0.04876606538891792
mean_abs_residual,$\delta$,0.0010010009864345193,0.04362485930323601
mean_abs_error,$\delta$,0.0010010009864345193,0.04875743389129639
mean_abs_residual,$\delta$,0.0012012012302875519,0.04363086074590683
mean_abs_error,$\delta$,0.0012012012302875519,0.048748668283224106
mean_abs_residual,$\delta$,0.0014014013577252626,0.04363686963915825
mean_abs_error,$\delta$,0.0014014013577252626,0.04873977601528168
mean_abs_residual,$\delta$,0.0016016016015782952,0.04364286735653877
mean_abs_error,$\delta$,0.0016016016015782952,0.048730749636888504
mean_abs_residual,$\delta$,0.0018018018454313278,0.04364888370037079
mean_abs_error,$\delta$,0.0018018018454313278,0.04872163385152817
mean_abs_residual,$\delta$,0.0020020019728690386,0.04365488514304161
mean_abs_error,$\delta$,0.0020020019728690386,0.048713330179452896
mean_abs_residual,$\delta$,0.0022022021003067493,0.04366089031100273
mean_abs_error,$\delta$,0.0022022021003067493,0.04870577156543732
mean_abs_residual,$\delta$,0.0024024024605751038,0.04366689547896385
mean_abs_error,$\delta$,0.0024024024605751038,0.048698343336582184
mean_abs_residual,$\delta$,0.0026026025880128145,0.04367290064692497
mean_abs_error,$\delta$,0.0026026025880128145,0.04869077727198601
mean_abs_residual,$\delta$,0.0028028027154505253,0.04367891326546669
mean_abs_error,$\delta$,0.0028028027154505253,0.048683080822229385
mean_abs_residual,$\delta$,0.0030030030757188797,0.04368491470813751
mean_abs_error,$\delta$,0.0030030030757188797,0.048675235360860825
mean_abs_residual,$\delta$,0.0032032032031565905,0.04369092360138893
mean_abs_error,$\delta$,0.0032032032031565905,0.04866727441549301
mean_abs_residual,$\delta$,0.0034034033305943012,0.04369692876935005
mean_abs_error,$\delta$,0.0034034033305943012,0.04865917190909386
mean_abs_residual,$\delta$,0.0036036036908626556,0.043702930212020874
mean_abs_error,$\delta$,0.0036036036908626556,0.04865093156695366
mean_abs_residual,$\delta$,0.0038038038183003664,0.04370894283056259
mean_abs_error,$\delta$,0.0038038038183003664,0.048642560839653015
mean_abs_residual,$\delta$,0.004004003945738077,0.04371495172381401
mean_abs_error,$\delta$,0.004004003945738077,0.048634063452482224
mean_abs_residual,$\delta$,0.004204204306006432,0.04372095689177513
mean_abs_error,$\delta$,0.004204204306006432,0.04862543195486069
mean_abs_residual,$\delta$,0.004404404200613499,0.04372696578502655
mean_abs_error,$\delta$,0.004404404200613499,0.048616763204336166
mean_abs_residual,$\delta$,0.004604604560881853,0.04373296722769737
mean_abs_error,$\delta$,0.004604604560881853,0.048608340322971344
mean_abs_residual,$\delta$,0.0048048049211502075,0.04373897612094879
mean_abs_error,$\delta$,0.0048048049211502075,0.048599790781736374
mean_abs_residual,$\delta$,0.005005004815757275,0.04374498501420021
mean_abs_error,$\delta$,0.005005004815757275,0.048591114580631256
mean_abs_residual,$\delta$,0.005205205176025629,0.04375098645687103
mean_abs_error,$\delta$,0.005205205176025629,0.04858250916004181
mean_abs_residual,$\delta$,0.0054054055362939835,0.04375699907541275
mean_abs_error,$\delta$,0.0054054055362939835,0.04857473075389862
mean_abs_residual,$\delta$,0.005605605430901051,0.04376300796866417
mean_abs_error,$\delta$,0.005605605430901051,0.0485667958855629
mean_abs_residual,$\delta$,0.005805805791169405,0.04376901686191559
mean_abs_error,$\delta$,0.005805805791169405,0.04855874180793762
mean_abs_residual,$\delta$,0.006006006151437759,0.04377502575516701
mean_abs_error,$\delta$,0.006006006151437759,0.0485505573451519
mean_abs_residual,$\delta$,0.0062062060460448265,0.043781038373708725
mean_abs_error,$\delta$,0.0062062060460448265,0.04854224622249603
mean_abs_residual,$\delta$,0.006406406406313181,0.04378703609108925
mean_abs_error,$\delta$,0.006406406406313181,0.04853379353880882
mean_abs_residual,$\delta$,0.006606606766581535,0.043793052434921265
mean_abs_error,$\delta$,0.006606606766581535,0.048525214195251465
mean_abs_residual,$\delta$,0.0068068066611886024,0.043799057602882385
mean_abs_error,$\delta$,0.0068068066611886024,0.04851650819182396
mean_abs_residual,$\delta$,0.007007007021456957,0.043805066496133804
mean_abs_error,$\delta$,0.007007007021456957,0.04850766807794571
mean_abs_residual,$\delta$,0.007207207381725311,0.04381107911467552
mean_abs_error,$\delta$,0.007207207381725311,0.04849870502948761
mean_abs_residual,$\delta$,0.007407407276332378,0.043817076832056046
mean_abs_error,$\delta$,0.007407407276332378,0.04848961532115936
mean_abs_residual,$\delta$,0.007607607636600733,0.04382308945059776
mean_abs_error,$\delta$,0.007607607636600733,0.04848037660121918
mean_abs_residual,$\delta$,0.007807807996869087,0.04382910206913948
mean_abs_error,$\delta$,0.007807807996869087,0.04847102239727974
mean_abs_residual,$\delta$,0.008008007891476154,0.0438351109623909
mean_abs_error,$\delta$,0.008008007891476154,0.048461541533470154
mean_abs_residual,$\delta$,0.008208207786083221,0.04384111985564232
mean_abs_error,$\delta$,0.008208207786083221,0.04845193028450012
mean_abs_residual,$\delta$,0.008408408612012863,0.04384712874889374
mean_abs_error,$\delta$,0.008408408612012863,0.048442188650369644
mean_abs_residual,$\delta$,0.00860860850661993,0.043853141367435455
mean_abs_error,$\delta$,0.00860860850661993,0.04843233525753021
mean_abs_residual,$\delta$,0.008808808401226997,0.043859146535396576
mean_abs_error,$\delta$,0.008808808401226997,0.04842234030365944
mean_abs_residual,$\delta$,0.009009009227156639,0.04386515915393829
mean_abs_error,$\delta$,0.009009009227156639,0.048412226140499115
mean_abs_residual,$\delta$,0.009209209121763706,0.04387116804718971
mean_abs_error,$\delta$,0.009209209121763706,0.04840198531746864
mean_abs_residual,$\delta$,0.009409409016370773,0.04387717694044113
mean_abs_error,$\delta$,0.009409409016370773,0.04839162901043892
mean_abs_residual,$\delta$,0.009609609842300415,0.04388318583369255
mean_abs_error,$\delta$,0.009609609842300415,0.04838113859295845
mean_abs_residual,$\delta$,0.009809809736907482,0.04388919845223427
mean_abs_error,$\delta$,0.009809809736907482,0.04837052524089813
mean_abs_residual,$\delta$,0.01001000963151455,0.04389520734548569
mean_abs_error,$\delta$,0.01001000963151455,0.04835979640483856
mean_abs_residual,$\delta$,0.010210210457444191,0.043901216238737106
mean_abs_error,$\delta$,0.010210210457444191,0.04834892228245735
mean_abs_residual,$\delta$,0.010410410352051258,0.04390722140669823
mean_abs_error,$\delta$,0.010410410352051258,0.04833794757723808
mean_abs_residual,$\delta$,0.010610610246658325,0.04391324147582054
mean_abs_error,$\delta$,0.010610610246658325,0.048326849937438965
mean_abs_residual,$\delta$,0.010810811072587967,0.04391925036907196
mean_abs_error,$\delta$,0.010810811072587967,0.0483156256377697
mean_abs_residual,$\delta$,0.011011010967195034,0.04392526298761368
mean_abs_error,$\delta$,0.011011010967195034,0.04830427095293999
mean_abs_residual,$\delta$,0.011211210861802101,0.043931275606155396
mean_abs_error,$\delta$,0.011211210861802101,0.04829280078411102
mean_abs_residual,$\delta$,0.011411411687731743,0.04393728822469711
mean_abs_error,$\delta$,0.011411411687731743,0.048281215131282806
mean_abs_residual,$\delta$,0.01161161158233881,0.043943289667367935
mean_abs_error,$\delta$,0.01161161158233881,0.048269499093294144
mean_abs_residual,$\delta$,0.011811811476945877,0.04394930973649025
mean_abs_error,$\delta$,0.011811811476945877,0.048257675021886826
mean_abs_residual,$\delta$,0.012012012302875519,0.04395531490445137
mean_abs_error,$\delta$,0.012012012302875519,0.04824572429060936
mean_abs_residual,$\delta$,0.012212212197482586,0.043961331248283386
mean_abs_error,$\delta$,0.012212212197482586,0.04823366180062294
mean_abs_residual,$\delta$,0.012412412092089653,0.043967343866825104
mean_abs_error,$\delta$,0.012412412092089653,0.04822148010134697
mean_abs_residual,$\delta$,0.012612612918019295,0.04397335648536682
mean_abs_error,$\delta$,0.012612612918019295,0.04820917546749115
mean_abs_residual,$\delta$,0.012812812812626362,0.04397936165332794
mean_abs_error,$\delta$,0.012812812812626362,0.04819675534963608
mean_abs_residual,$\delta$,0.013013012707233429,0.04398537799715996
mean_abs_error,$\delta$,0.013013012707233429,0.04818421229720116
mean_abs_residual,$\delta$,0.01321321353316307,0.043991390615701675
mean_abs_error,$\delta$,0.01321321353316307,0.048171550035476685
mean_abs_residual,$\delta$,0.013413413427770138,0.043997395783662796
mean_abs_error,$\delta$,0.013413413427770138,0.04815877974033356
mean_abs_residual,$\delta$,0.013613613322377205,0.04400341585278511
mean_abs_error,$\delta$,0.013613613322377205,0.04814589396119118
mean_abs_residual,$\delta$,0.013813814148306847,0.04400942474603653
mean_abs_error,$\delta$,0.013813814148306847,0.04813288524746895
mean_abs_residual,$\delta$,0.014014014042913914,0.04401543736457825
mean_abs_error,$\delta$,0.014014014042913914,0.04811976104974747
mean_abs_residual,$\delta$,0.01421421393752098,0.044021449983119965
mean_abs_error,$\delta$,0.01421421393752098,0.04810653254389763
mean_abs_residual,$\delta$,0.014414414763450623,0.04402746260166168
mean_abs_error,$\delta$,0.014414414763450623,0.04809318482875824
mean_abs_residual,$\delta$,0.01461461465805769,0.0440334752202034
mean_abs_error,$\delta$,0.01461461465805769,0.04807981476187706
mean_abs_residual,$\delta$,0.014814814552664757,0.04403948783874512
mean_abs_error,$\delta$,0.014814814552664757,0.04806668683886528
mean_abs_residual,$\delta$,0.015015015378594398,0.044045496731996536
mean_abs_error,$\delta$,0.015015015378594398,0.04805346578359604
mean_abs_residual,$\delta$,0.015215215273201466,0.04405151307582855
mean_abs_error,$\delta$,0.015215215273201466,0.048040106892585754
mean_abs_residual,$\delta$,0.015415415167808533,0.04405753314495087
mean_abs_error,$\delta$,0.015415415167808533,0.04802665114402771
mean_abs_residual,$\delta$,0.015615615993738174,0.044063545763492584
mean_abs_error,$\delta$,0.015615615993738174,0.048013076186180115
mean_abs_residual,$\delta$,0.015815814957022667,0.044069550931453705
mean_abs_error,$\delta$,0.015815814957022667,0.047999393194913864
mean_abs_residual,$\delta$,0.01601601578295231,0.04407556354999542
mean_abs_error,$\delta$,0.01601601578295231,0.04798602685332298
mean_abs_residual,$\delta$,0.01621621660888195,0.04408158361911774
mean_abs_error,$\delta$,0.01621621660888195,0.04797320440411568
mean_abs_residual,$\delta$,0.016416415572166443,0.044087596237659454
mean_abs_error,$\delta$,0.016416415572166443,0.04796025902032852
mean_abs_residual,$\delta$,0.016616616398096085,0.04409361258149147
mean_abs_error,$\delta$,0.016616616398096085,0.04794720187783241
mean_abs_residual,$\delta$,0.016816817224025726,0.04409962520003319
mean_abs_error,$\delta$,0.016816817224025726,0.047934044152498245
mean_abs_residual,$\delta$,0.01701701618731022,0.0441056452691555
mean_abs_error,$\delta$,0.01701701618731022,0.047920774668455124
mean_abs_residual,$\delta$,0.01721721701323986,0.04411165416240692
mean_abs_error,$\delta$,0.01721721701323986,0.04790739715099335
mean_abs_residual,$\delta$,0.017417417839169502,0.04411767050623894
mean_abs_error,$\delta$,0.017417417839169502,0.04789390414953232
mean_abs_residual,$\delta$,0.017617616802453995,0.044123679399490356
mean_abs_error,$\delta$,0.017617616802453995,0.04788031056523323
mean_abs_residual,$\delta$,0.017817817628383636,0.04412969946861267
mean_abs_error,$\delta$,0.017817817628383636,0.04786660522222519
mean_abs_residual,$\delta$,0.018018018454313278,0.04413570836186409
mean_abs_error,$\delta$,0.018018018454313278,0.04785279929637909
mean_abs_residual,$\delta$,0.01821821741759777,0.04414172098040581
mean_abs_error,$\delta$,0.01821821741759777,0.04783887416124344
mean_abs_residual,$\delta$,0.018418418243527412,0.04414774477481842
mean_abs_error,$\delta$,0.018418418243527412,0.04782485589385033
mean_abs_residual,$\delta$,0.018618619069457054,0.04415375739336014
mean_abs_error,$\delta$,0.018618619069457054,0.04781072214245796
mean_abs_residual,$\delta$,0.018818818032741547,0.044159773737192154
mean_abs_error,$\delta$,0.018818818032741547,0.04779648780822754
mean_abs_residual,$\delta$,0.01901901885867119,0.04416579380631447
mean_abs_error,$\delta$,0.01901901885867119,0.04778214544057846
mean_abs_residual,$\delta$,0.01921921968460083,0.044171806424856186
mean_abs_error,$\delta$,0.01921921968460083,0.047767702490091324
mean_abs_residual,$\delta$,0.019419418647885323,0.0441778190433979
mean_abs_error,$\delta$,0.019419418647885323,0.04775315150618553
mean_abs_residual,$\delta$,0.019619619473814964,0.04418383538722992
mean_abs_error,$\delta$,0.019619619473814964,0.047738488763570786
mean_abs_residual,$\delta$,0.019819820299744606,0.044189855456352234
mean_abs_error,$\delta$,0.019819820299744606,0.04772373288869858
mean_abs_residual,$\delta$,0.0200200192630291,0.04419586807489395
mean_abs_error,$\delta$,0.0200200192630291,0.047708868980407715
mean_abs_residual,$\delta$,0.02022022008895874,0.04420187324285507
mean_abs_error,$\delta$,0.02022022008895874,0.04769390448927879
mean_abs_residual,$\delta$,0.020420420914888382,0.044207893311977386
mean_abs_error,$\delta$,0.020420420914888382,0.047678831964731216
mean_abs_residual,$\delta$,0.020620619878172874,0.0442139133810997
mean_abs_error,$\delta$,0.020620619878172874,0.04766365885734558
mean_abs_residual,$\delta$,0.020820820704102516,0.044219933450222015
mean_abs_error,$\delta$,0.020820820704102516,0.04764855280518532
mean_abs_residual,$\delta$,0.021021021530032158,0.04422594979405403
mean_abs_error,$\delta$,0.021021021530032158,0.04763385280966759
mean_abs_residual,$\delta$,0.02122122049331665,0.04423196241259575
mean_abs_error,$\delta$,0.02122122049331665,0.04761909320950508
mean_abs_residual,$\delta$,0.021421421319246292,0.04423798248171806
mean_abs_error,$\delta$,0.021421421319246292,0.047604843974113464
mean_abs_residual,$\delta$,0.021621622145175934,0.04424399510025978
mean_abs_error,$\delta$,0.021621622145175934,0.04759049043059349
mean_abs_residual,$\delta$,0.021821821108460426,0.044250015169382095
mean_abs_error,$\delta$,0.021821821108460426,0.047576021403074265
mean_abs_residual,$\delta$,0.022022021934390068,0.04425603523850441
mean_abs_error,$\delta$,0.022022021934390068,0.04756145551800728
mean_abs_residual,$\delta$,0.02222222276031971,0.044262051582336426
mean_abs_error,$\delta$,0.02222222276031971,0.047546789050102234
mean_abs_residual,$\delta$,0.022422421723604202,0.04426806792616844
mean_abs_error,$\delta$,0.022422421723604202,0.047532014548778534
mean_abs_residual,$\delta$,0.022622622549533844,0.04427408054471016
mean_abs_error,$\delta$,0.022622622549533844,0.04751713573932648
mean_abs_residual,$\delta$,0.022822823375463486,0.044280100613832474
mean_abs_error,$\delta$,0.022822823375463486,0.04750215634703636
mean_abs_residual,$\delta$,0.023023022338747978,0.04428611695766449
mean_abs_error,$\delta$,0.023023022338747978,0.04748707264661789
mean_abs_residual,$\delta$,0.02322322316467762,0.044292137026786804
mean_abs_error,$\delta$,0.02322322316467762,0.04747242480516434
mean_abs_residual,$\delta$,0.02342342399060726,0.04429815337061882
mean_abs_error,$\delta$,0.02342342399060726,0.047457847744226456
mean_abs_residual,$\delta$,0.023623622953891754,0.044304169714450836
mean_abs_error,$\delta$,0.023623622953891754,0.04744315147399902
mean_abs_residual,$\delta$,0.023823823779821396,0.04431019350886345
mean_abs_error,$\delta$,0.023823823779821396,0.04742913320660591
mean_abs_residual,$\delta$,0.024024024605751038,0.04431620612740517
mean_abs_error,$\delta$,0.024024024605751038,0.047415267676115036
mean_abs_residual,$\delta$,0.02422422356903553,0.04432222992181778
mean_abs_error,$\delta$,0.02422422356903553,0.047401294112205505
mean_abs_residual,$\delta$,0.024424424394965172,0.0443282350897789
mean_abs_error,$\delta$,0.024424424394965172,0.047387223690748215
mean_abs_residual,$\delta$,0.024624625220894814,0.04433425888419151
mean_abs_error,$\delta$,0.024624625220894814,0.047373056411743164
mean_abs_residual,$\delta$,0.024824824184179306,0.044340282678604126
mean_abs_error,$\delta$,0.024824824184179306,0.047358784824609756
mean_abs_residual,$\delta$,0.025025025010108948,0.04434629902243614
mean_abs_error,$\delta$,0.025025025010108948,0.04734441637992859
mean_abs_residual,$\delta$,0.02522522583603859,0.04435231536626816
mean_abs_error,$\delta$,0.02522522583603859,0.04732995480298996
mean_abs_residual,$\delta$,0.025425424799323082,0.04435833916068077
mean_abs_error,$\delta$,0.025425424799323082,0.047315388917922974
mean_abs_residual,$\delta$,0.025625625625252724,0.04436435550451279
mean_abs_error,$\delta$,0.025625625625252724,0.04730072617530823
mean_abs_residual,$\delta$,0.025825826451182365,0.0443703792989254
mean_abs_error,$\delta$,0.025825826451182365,0.04728596284985542
mean_abs_residual,$\delta$,0.026026025414466858,0.04437639191746712
mean_abs_error,$\delta$,0.026026025414466858,0.047271110117435455
mean_abs_residual,$\delta$,0.0262262262403965,0.04438241571187973
mean_abs_error,$\delta$,0.0262262262403965,0.04725615680217743
mean_abs_residual,$\delta$,0.02642642706632614,0.044388432055711746
mean_abs_error,$\delta$,0.02642642706632614,0.04724111035466194
mean_abs_residual,$\delta$,0.026626626029610634,0.04439445585012436
mean_abs_error,$\delta$,0.026626626029610634,0.047225963324308395
mean_abs_residual,$\delta$,0.026826826855540276,0.044400472193956375
mean_abs_error,$\delta$,0.026826826855540276,0.04721071571111679
mean_abs_residual,$\delta$,0.027027027681469917,0.04440648481249809
mean_abs_error,$\delta$,0.027027027681469917,0.04719537869095802
mean_abs_residual,$\delta$,0.02722722664475441,0.044412512332201004
mean_abs_error,$\delta$,0.02722722664475441,0.04717995226383209
mean_abs_residual,$\delta$,0.02742742747068405,0.04441852867603302
mean_abs_error,$\delta$,0.02742742747068405,0.047164421528577805
