state,t,mean_signed_error,mean_signed_intres,mean_signed_diff
$\delta$,0.0,-0.02025485970079899,-4.215730768919457e-06,-0.02025064267218113
$\delta$,0.00010010010009864345,-0.020249027758836746,-8.431116839346942e-06,-0.020240597426891327
$\delta$,0.0002002002001972869,-0.02024325355887413,-1.2646161849261262e-05,-0.020230606198310852
$\delta$,0.00030030030757188797,-0.020237531512975693,-1.6860863979673013e-05,-0.020220672711730003
$\delta$,0.0004004004003945738,-0.02023186720907688,-2.1075222321087494e-05,-0.020210791379213333
$\delta$,0.0005005004932172596,-0.02022625133395195,-2.5289235054515302e-05,-0.02020096592605114
$\delta$,0.0006006006151437759,-0.020220695063471794,-2.9502916731871665e-05,-0.020191192626953125
$\delta$,0.0007007006788626313,-0.020215194672346115,-3.3716238249326125e-05,-0.020181477069854736
$\delta$,0.0008008008007891476,-0.020209746435284615,-3.792923234868795e-05,-0.020171819254755974
$\delta$,0.0009009009227156639,-0.02020435407757759,-4.214187720208429e-05,-0.02016220986843109
$\delta$,0.0010010009864345193,-0.020199012011289597,-4.635417280951515e-05,-0.020152660086750984
$\delta$,0.0011011010501533747,-0.02019372768700123,-5.056612644693814e-05,-0.020143158733844757
$\delta$,0.0012012012302875519,-0.02018849551677704,-5.47777526662685e-05,-0.020133716985583305
$\delta$,0.0013013012940064073,-0.020183317363262177,-5.898902236367576e-05,-0.020124327391386032
$\delta$,0.0014014013577252626,-0.020178193226456642,-6.319995009107515e-05,-0.020114991813898087
$\delta$,0.0015015015378594398,-0.020173121243715286,-6.74105467624031e-05,-0.02010571025311947
$\delta$,0.0016016016015782952,-0.020168107002973557,-7.162079418776557e-05,-0.020096486434340477
$\delta$,0.0017017016652971506,-0.02016313746571541,-7.583068509120494e-05,-0.020087309181690216
$\delta$,0.0018018018454313278,-0.020158231258392334,-8.004024857655168e-05,-0.02007819153368473
$\delta$,0.0019019019091501832,-0.02015337534248829,-8.424946281593293e-05,-0.020069124177098274
$\delta$,0.0020020019728690386,-0.02014857344329357,-8.845834236126393e-05,-0.020060112699866295
$\delta$,0.002102102153003216,-0.020143823698163033,-9.266687266062945e-05,-0.020051155239343643
$\delta$,0.0022022021003067493,-0.020139126107096672,-9.687505371402949e-05,-0.020042255520820618
$\delta$,0.0023023022804409266,-0.02013448253273964,-0.0001010829146252945,-0.020033400505781174
$\delta$,0.0024024024605751038,-0.020129892975091934,-0.0001052904044627212,-0.020024603232741356
