state,lag_steps,pearson_r
$\delta$,0,-0.23913289606571198
$\delta$,1,-0.23934698104858398
$\delta$,5,-0.24020442366600037
$\delta$,10,-0.24127863347530365
$\delta$,20,-0.24343496561050415
$\omega$,0,0.17261333763599396
$\omega$,1,0.17164695262908936
$\omega$,5,0.16777920722961426
$\omega$,10,0.16294074058532715
$\omega$,20,0.15326105058193207
$E'_d$,0,0.4966082274913788
$E'_d$,1,0.49665209650993347
$E'_d$,5,0.4968276619911194
$E'_d$,10,0.4970467984676361
$E'_d$,20,0.49748459458351135
$E'_q$,0,0.2512754797935486
$E'_q$,1,0.2512940764427185
$E'_q$,5,0.25136810541152954
$E'_q$,10,0.25146016478538513
$E'_q$,20,0.2516425549983978
