kind,state,ic_index,value
residual_rms,delta,0,0.05893879011273384
error_rms,delta,0,0.0018488387577235699
residual_rms,delta,1,0.056406740099191666
error_rms,delta,1,0.009244224056601524
residual_rms,delta,2,0.05302063375711441
error_rms,delta,2,0.008989700116217136
residual_rms,delta,3,0.05583207309246063
error_rms,delta,3,0.004238578956574202
residual_rms,delta,4,0.049905888736248016
error_rms,delta,4,0.006163124460726976
residual_rms,delta,5,0.06710271537303925
error_rms,delta,5,0.008360825479030609
residual_rms,delta,6,0.06685417890548706
error_rms,delta,6,0.0023145172744989395
residual_rms,delta,7,0.062472838908433914
error_rms,delta,7,0.003375452943146229
residual_rms,delta,8,0.06811483949422836
error_rms,delta,8,0.0021053962409496307
residual_rms,delta,9,0.04540807008743286
error_rms,delta,9,0.0047040944918990135
residual_rms,delta,10,0.06336630880832672
error_rms,delta,10,0.008171916007995605
residual_rms,delta,11,0.06888169050216675
error_rms,delta,11,0.00963596347719431
residual_rms,delta,12,0.05088182911276817
error_rms,delta,12,0.009330058470368385
residual_rms,delta,13,0.06734468042850494
error_rms,delta,13,0.008124420419335365
residual_rms,delta,14,0.045573558658361435
error_rms,delta,14,0.004638314712792635
residual_rms,delta,15,0.05097787082195282
error_rms,delta,15,0.00497827073559165
residual_rms,delta,16,0.059405457228422165
error_rms,delta,16,0.00606898870319128
residual_rms,delta,17,0.04732260853052139
error_rms,delta,17,0.006861782632768154
residual_rms,delta,18,0.06416715681552887
error_rms,delta,18,0.001816232455894351
residual_rms,delta,19,0.05022517591714859
error_rms,delta,19,0.0038729701191186905
residual_rms,delta,20,0.05204633250832558
error_rms,delta,20,0.005588396918028593
residual_rms,delta,21,0.07255866378545761
error_rms,delta,21,0.002303888089954853
residual_rms,delta,22,0.056704867631196976
error_rms,delta,22,0.002869250485673547
residual_rms,delta,23,0.06362355500459671
error_rms,delta,23,0.0034824353642761707
residual_rms,delta,24,0.05117473006248474
error_rms,delta,24,0.003296398092061281
residual_rms,delta,25,0.05367988348007202
error_rms,delta,25,0.008486040867865086
residual_rms,delta,26,0.05670573562383652
error_rms,delta,26,0.006810632534325123
residual_rms,delta,27,0.06200524419546127
error_rms,delta,27,0.0019032950513064861
residual_rms,delta,28,0.05225207656621933
error_rms,delta,28,0.00332525628618896
residual_rms,delta,29,0.06572375446557999
error_rms,delta,29,0.00259672524407506
residual_rms,delta,30,0.08633987605571747
error_rms,delta,30,0.0027468043845146894
residual_rms,delta,31,0.061712633818387985
error_rms,delta,31,0.006272535305470228
residual_rms,delta,32,0.06168819218873978
error_rms,delta,32,0.009328915737569332
residual_rms,delta,33,0.06487465649843216
error_rms,delta,33,0.00209687533788383
residual_rms,delta,34,0.048733148723840714
error_rms,delta,34,0.0036171693354845047
residual_rms,delta,35,0.08038271218538284
error_rms,delta,35,0.002350641880184412
residual_rms,delta,36,0.06686491519212723
error_rms,delta,36,0.00177729909773916
residual_rms,delta,37,0.07920639216899872
error_rms,delta,37,0.0023140416014939547
residual_rms,delta,38,0.052869848906993866
error_rms,delta,38,0.006491508800536394
residual_rms,delta,39,0.059595830738544464
error_rms,delta,39,0.010831169784069061
residual_rms,delta,40,0.05841055512428284
error_rms,delta,40,0.0035472530871629715
residual_rms,delta,41,0.04253712669014931
error_rms,delta,41,0.0065567223355174065
residual_rms,delta,42,0.05769902095198631
error_rms,delta,42,0.007153380662202835
residual_rms,delta,43,0.07565909624099731
error_rms,delta,43,0.0016636395594105124
residual_rms,delta,44,0.048346079885959625
error_rms,delta,44,0.008117634803056717
residual_rms,delta,45,0.06351155787706375
error_rms,delta,45,0.0022716657258570194
residual_rms,delta,46,0.0670151337981224
error_rms,delta,46,0.011480147950351238
residual_rms,delta,47,0.05463598668575287
error_rms,delta,47,0.005711181554943323
residual_rms,delta,48,0.04707327485084534
error_rms,delta,48,0.010260515846312046
residual_rms,delta,49,0.056730952113866806
error_rms,delta,49,0.005352263804525137
residual_rms,delta,50,0.050175849348306656
error_rms,delta,50,0.01042128074914217
residual_rms,delta,51,0.052815183997154236
error_rms,delta,51,0.005518367048352957
residual_rms,delta,52,0.05842455476522446
error_rms,delta,52,0.007966010831296444
residual_rms,delta,53,0.05736491084098816
error_rms,delta,53,0.0026419712230563164
residual_rms,delta,54,0.060977037996053696
error_rms,delta,54,0.002818434266373515
residual_rms,delta,55,0.050788916647434235
error_rms,delta,55,0.006147725973278284
residual_rms,delta,56,0.04842543601989746
error_rms,delta,56,0.007862262427806854
residual_rms,delta,57,0.05327257513999939
error_rms,delta,57,0.009115451946854591
residual_rms,delta,58,0.06347563862800598
error_rms,delta,58,0.0036592138931155205
residual_rms,delta,59,0.06649347394704819
error_rms,delta,59,0.011179923079907894
residual_rms,delta,60,0.075058214366436
error_rms,delta,60,0.012407949194312096
residual_rms,delta,61,0.06595873087644577
error_rms,delta,61,0.001990947872400284
residual_rms,delta,62,0.06256932020187378
error_rms,delta,62,0.0036162224132567644
residual_rms,delta,63,0.05322612076997757
error_rms,delta,63,0.002960739890113473
residual_rms,delta,64,0.059157416224479675
error_rms,delta,64,0.006078730337321758
residual_rms,delta,65,0.06439313292503357
error_rms,delta,65,0.002749905688688159
residual_rms,delta,66,0.06192181259393692
error_rms,delta,66,0.0036014604847878218
residual_rms,delta,67,0.05692523717880249
error_rms,delta,67,0.007226606830954552
residual_rms,delta,68,0.05028911307454109
error_rms,delta,68,0.004384536296129227
residual_rms,delta,69,0.06371712684631348
error_rms,delta,69,0.012755013071000576
residual_rms,delta,70,0.057585250586271286
error_rms,delta,70,0.005901798140257597
residual_rms,delta,71,0.04518570378422737
error_rms,delta,71,0.0075348298996686935
residual_rms,delta,72,0.07043521851301193
error_rms,delta,72,0.012357423081994057
residual_rms,delta,73,0.04879161715507507
error_rms,delta,73,0.006338854320347309
