state,lag_steps,pearson_r
delta,0,-0.21174976229667664
delta,1,-0.2103147953748703
delta,5,-0.20442382991313934
delta,10,-0.19673527777194977
delta,20,-0.18040578067302704
omega,0,0.6991998553276062
omega,1,0.6993738412857056
omega,5,0.7000395059585571
omega,10,0.7006769180297852
omega,20,0.7009835839271545
E_d_dash,0,0.7296098470687866
E_d_dash,1,0.7296262383460999
E_d_dash,5,0.7296907305717468
E_d_dash,10,0.7297651767730713
E_d_dash,20,0.7298595309257507
E_q_dash,0,-0.010585413314402103
E_q_dash,1,-0.007846010848879814
E_q_dash,5,0.0029836304020136595
E_q_dash,10,0.016187170520424843
E_q_dash,20,0.0413065068423748
E_d_dd,0,0.5067183375358582
E_d_dd,1,0.50718092918396
E_d_dd,5,0.5090786814689636
E_d_dd,10,0.5115481019020081
E_d_dd,20,0.5166518688201904
E_q_dd,0,-0.06788579374551773
E_q_dd,1,-0.06488224118947983
E_q_dd,5,-0.05314488708972931
E_q_dd,10,-0.03927621617913246
E_q_dd,20,-0.014847691170871258
