kind,state,t,value
mean_abs_residual,delta,0.0,0.07194167375564575
mean_abs_error,delta,0.0,0.0022420422174036503
mean_abs_residual,delta,0.0002002002001972869,0.0691414549946785
mean_abs_error,delta,0.0002002002001972869,0.0022546034306287766
mean_abs_residual,delta,0.0004004004003945738,0.06647926568984985
mean_abs_error,delta,0.0004004004003945738,0.0022665795404464006
mean_abs_residual,delta,0.0006006006151437759,0.06396587193012238
mean_abs_error,delta,0.0006006006151437759,0.0022779705468565226
mean_abs_residual,delta,0.0008008008007891476,0.06157323345541954
mean_abs_error,delta,0.0008008008007891476,0.0022889378014951944
mean_abs_residual,delta,0.0010010009864345193,0.05944101884961128
mean_abs_error,delta,0.0010010009864345193,0.002299609826877713
mean_abs_residual,delta,0.0012012012302875519,0.0576394684612751
mean_abs_error,delta,0.0012012012302875519,0.0023096411023288965
mean_abs_residual,delta,0.0014014013577252626,0.05603325739502907
mean_abs_error,delta,0.0014014013577252626,0.002319140126928687
mean_abs_residual,delta,0.0016016016015782952,0.05480564013123512
mean_abs_error,delta,0.0016016016015782952,0.0023279893212020397
mean_abs_residual,delta,0.0018018018454313278,0.053962890058755875
mean_abs_error,delta,0.0018018018454313278,0.002336321398615837
mean_abs_residual,delta,0.0020020019728690386,0.0533832423388958
mean_abs_error,delta,0.0020020019728690386,0.0023441545199602842
mean_abs_residual,delta,0.0022022021003067493,0.05298253893852234
mean_abs_error,delta,0.0022022021003067493,0.0023513559717684984
mean_abs_residual,delta,0.0024024024605751038,0.052738774567842484
mean_abs_error,delta,0.0024024024605751038,0.0023581446148455143
mean_abs_residual,delta,0.0026026025880128145,0.05263950303196907
mean_abs_error,delta,0.0026026025880128145,0.0023643409367650747
mean_abs_residual,delta,0.0028028027154505253,0.05257133021950722
mean_abs_error,delta,0.0028028027154505253,0.002369979862123728
mean_abs_residual,delta,0.0030030030757188797,0.05271804332733154
mean_abs_error,delta,0.0030030030757188797,0.0023752532433718443
mean_abs_residual,delta,0.0032032032031565905,0.05310138687491417
mean_abs_error,delta,0.0032032032031565905,0.0023800069466233253
mean_abs_residual,delta,0.0034034033305943012,0.05368770658969879
mean_abs_error,delta,0.0034034033305943012,0.002384633757174015
mean_abs_residual,delta,0.0036036036908626556,0.054382480680942535
mean_abs_error,delta,0.0036036036908626556,0.00238873902708292
mean_abs_residual,delta,0.0038038038183003664,0.05510259047150612
mean_abs_error,delta,0.0038038038183003664,0.0023924652487039566
mean_abs_residual,delta,0.004004003945738077,0.05583129823207855
mean_abs_error,delta,0.004004003945738077,0.0023957728408277035
mean_abs_residual,delta,0.004204204306006432,0.0566483698785305
mean_abs_error,delta,0.004204204306006432,0.002398648066446185
mean_abs_residual,delta,0.004404404200613499,0.05744519084692001
